"indicator","31-10-2014","31-10-2015","31-10-2016","26-09-2017","At the Beginning of the Period Analyzed","At the End of the Period Analyzed","Million $ (col.5-col.2)","± %((col.5-col.2): col.2)"
"Net tangible assets", 67.7, 73.45, 73.33, 79.99, 8919.0 ,15260.0 ,6341.0, 71.1
"Net worth ",59.72 ,49.73 ,49.47 ,45.69 ,7868.0 ,8716.0 ,848.0 ,10.78
